"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"1,Alex Abrines\abrinal01,SG,25,OKC,31,588,6.3,.507,.809,.083,0.9,7.8,4.2,4.4,1.3,0.9,7.9,12.3,,0.1,0.6,0.6,.053,,-2.5,-0.9,-3.4,-0.2"
"2,Quincy Acy\acyqu01,PF,28,PHO,10,123,2.9,.379,.833,.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,,-0.1,0.1,0.0,-0.019,,-5.7,-0.2,-5.9,-0.1"
"3,Jaylen Adams\adamsja01,PG,22,ATL,29,335,8.1,.520,.762,.095,2.8,12.2,7.4,19.3,1.0,1.0,19.4,13.2,,0.1,0.1,0.2,.031,,-2.2,-1.9,-4.1,-0.2"
"4,Steven Adams\adamsst01,C,25,OKC,75,2536,18.8,.596,.003,.361,14.4,14.8,14.6,6.8,2.1,2.3,12.6,16.4,,5.0,3.8,8.8,.167,,0.7,2.2,2.9,3.1"
"5,Bam Adebayo\adebaba01,C,21,MIA,77,1782,17.8,.623,.027,.480,9.3,23.8,16.6,14.6,1.7,3.1,17.4,15.7,,3.3,3.1,6.3,.170,,-0.6,3.5,2.9,2.2"
"6,Deng Adel\adelde01,SF,21,CLE,16,185,2.0,.387,.618,.059,1.1,9.4,5.1,3.6,0.3,1.9,12.5,9.4,,-0.2,0.0,-0.2,-0.065,,-5.7,-1.6,-7.3,-0.2"
"7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.3,.322,.400,.200,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,,-0.1,0.0,0.0,-0.048,,-4.3,0.7,-3.6,0.0"
"8,LaMarcus Aldridge\aldrila01,C,33,SAS,76,2531,22.7,.573,.031,.310,10.1,19.5,14.9,11.9,0.8,3.3,9.0,27.0,,5.9,2.6,8.5,.160,,1.1,0.4,1.5,2.2"
"9,Rawle Alkins\alkinra01,SG,21,CHI,6,42,11.8,.346,.313,.188,23.1,13.1,18.2,19.7,1.2,0.0,14.8,21.1,,0.0,0.0,0.0,-0.028,,-1.6,-1.5,-3.1,0.0"
"10,Grayson Allen\allengr01,SG,23,UTA,33,302,4.5,.465,.627,.356,0.4,3.5,2.0,8.4,0.6,0.8,11.7,21.9,,-0.4,0.3,-0.1,-0.022,,-4.5,-3.5,-8.0,-0.5"
"11,Jarrett Allen\allenja01,C,20,BRK,76,2007,18.6,.630,.081,.504,9.7,23.6,16.7,8.1,1.0,4.5,13.0,16.0,,4.2,3.1,7.3,.175,,-0.6,3.1,2.5,2.3"
"12,Kadeem Allen\allenka01,SG,26,NYK,18,387,15.7,.582,.252,.351,2.1,10.6,6.2,27.7,1.7,0.7,14.7,19.5,,0.7,0.2,0.8,.104,,0.3,-1.9,-1.6,0.0"
"13,Al-Farouq Aminu\aminual01,PF,28,POR,77,2196,13.1,.571,.473,.287,5.3,22.4,14.0,6.1,1.4,1.1,9.8,13.4,,2.9,2.6,5.5,.121,,0.1,0.9,0.9,1.6"
"14,Justin Anderson\anderju01,SF,25,ATL,43,364,11.3,.504,.481,.194,5.4,13.6,9.4,7.4,2.3,2.6,10.8,17.6,,0.0,0.3,0.3,.042,,-2.7,-0.5,-3.2,-0.1"
"15,Kyle Anderson\anderky01,SF,25,MEM,43,1281,12.8,.569,.123,.232,4.1,18.2,11.0,15.1,2.1,2.8,16.0,12.6,,0.8,1.9,2.7,.101,,-2.1,3.3,1.2,1.0"
"16,Ryan Anderson\anderry01,PF,30,TOT,24,321,4.6,.414,.580,.232,6.1,12.5,9.3,7.8,0.6,0.3,15.5,12.0,,-0.3,0.0,-0.2,-0.033,,-4.5,-1.9,-6.4,-0.4"
"16,Ryan Anderson\anderry01,PF,30,PHO,15,278,4.6,.423,.567,.233,5.5,12.5,9.0,8.1,0.5,0.3,15.4,12.1,,-0.2,0.0,-0.2,-0.036,,-4.4,-2.1,-6.5,-0.3"
"16,Ryan Anderson\anderry01,PF,30,MIA,9,43,4.6,.354,.667,.222,9.9,12.4,11.2,6.0,1.1,0.0,16.8,11.8,,0.0,0.0,0.0,-0.010,,-4.9,-0.9,-5.8,0.0"
"17,Ike Anigbogu\anigbik01,C,20,IND,3,6,-6.0,.000,.000,.000,19.0,36.3,27.8,19.4,0.0,14.8,25.0,29.2,,-0.1,0.0,-0.1,-0.478,,-22.6,8.5,-14.0,0.0"
"18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,70,2299,30.5,.641,.158,.540,7.3,30.0,19.4,30.4,1.8,3.7,15.1,32.2,,8.3,5.4,13.8,.288,,5.5,5.0,10.5,7.3"
"19,Kostas Antetokounmpo\antetko01,PF,21,DAL,2,11,-0.8,.210,.000,1.333,0.0,9.7,4.9,0.0,8.8,0.0,17.4,22.5,,-0.1,0.0,-0.1,-0.247,,-15.9,2.7,-13.2,0.0"
"20,Carmelo Anthony\anthoca01,PF,34,HOU,10,294,11.0,.513,.529,.182,3.3,17.4,10.2,2.7,0.7,2.0,5.8,20.5,,0.1,0.2,0.3,.046,,-3.1,-2.9,-6.0,-0.3"
"21,OG Anunoby\anunoog01,SF,21,TOR,64,1301,10.0,.548,.500,.154,4.8,10.8,7.9,4.6,1.6,1.4,10.9,15.4,,0.4,1.6,2.0,.073,,-1.1,0.1,-1.0,0.3"
"22,Ryan Arcidiacono\arcidry01,PG,24,CHI,77,1862,11.3,.588,.536,.234,1.4,10.4,5.9,18.7,1.6,0.2,12.2,11.3,,2.6,0.8,3.4,.088,,-0.1,-1.0,-1.1,0.4"
"23,Trevor Ariza\arizatr01,SF,33,TOT,69,2349,12.1,.534,.590,.223,2.3,15.2,8.7,14.8,1.8,0.7,11.6,16.6,,1.3,1.3,2.6,.053,,-0.1,-0.4,-0.4,0.9"
"23,Trevor Ariza\arizatr01,SF,33,PHO,26,884,10.5,.525,.612,.189,2.0,16.4,9.1,13.5,2.1,0.8,13.7,13.8,,0.2,0.5,0.7,.037,,-1.2,0.3,-0.9,0.2"
"23,Trevor Ariza\arizatr01,SF,33,WAS,43,1465,13.0,.538,.580,.238,2.5,14.4,8.4,15.6,1.7,0.7,10.6,18.2,,1.1,0.8,1.9,.062,,0.6,-0.7,-0.2,0.7"
"24,D.J. Augustin\augusdj01,PG,31,ORL,77,2148,15.8,.619,.466,.318,1.9,7.4,4.6,26.8,1.1,0.2,13.8,17.1,,4.9,1.7,6.7,.149,,1.8,-2.0,-0.2,1.0"
"25,Deandre Ayton\aytonde01,C,20,PHO,71,2183,20.5,.608,.005,.217,11.2,26.1,18.5,9.7,1.3,2.5,11.7,21.2,,4.1,1.8,6.0,.131,,0.0,0.3,0.2,1.2"
"26,Dwayne Bacon\bacondw01,SG,23,CHO,38,610,11.8,.572,.324,.221,1.2,13.0,7.0,9.3,0.8,0.6,6.7,16.9,,0.7,0.2,1.0,.076,,-1.4,-2.3,-3.7,-0.3"
"27,Marvin Bagley\baglema01,PF,19,SAC,57,1427,19.2,.574,.128,.388,10.4,20.1,15.1,6.1,1.0,3.4,11.1,23.7,,2.1,1.6,3.6,.122,,-0.9,-0.4,-1.2,0.3"
"28,Ron Baker\bakerro01,SG,25,TOT,15,152,2.5,.309,.650,.300,0.7,7.2,3.8,12.8,1.9,0.6,18.1,7.7,,-0.2,0.1,-0.1,-0.034,,-5.8,-0.8,-6.6,-0.2"
"28,Ron Baker\bakerro01,SG,25,NYK,11,107,4.4,.376,.563,.375,1.0,6.1,3.4,16.1,2.2,0.0,13.9,8.6,,0.0,0.0,0.0,.002,,-4.6,-1.5,-6.1,-0.1"
"28,Ron Baker\bakerro01,SG,25,WAS,4,45,-2.0,.000,1.000,.000,0.0,9.8,4.8,5.1,1.1,1.9,33.3,5.7,,-0.1,0.0,-0.1,-0.120,,-8.8,0.8,-8.0,-0.1"
"29,Wade Baldwin\baldwwa01,PG,22,POR,16,94,1.3,.396,.273,.333,2.3,14.4,8.5,16.7,0.5,1.7,27.0,23.3,,-0.4,0.1,-0.3,-0.153,,-9.3,-1.4,-10.7,-0.2"
"30,Lonzo Ball\balllo01,PG,21,LAL,47,1423,11.8,.487,.500,.105,4.0,14.0,9.1,23.8,2.3,1.1,17.8,16.9,,-0.2,1.7,1.5,.052,,-0.9,1.4,0.5,0.9"
"31,Mohamed Bamba\bambamo01,C,20,ORL,47,766,14.9,.539,.288,.259,8.8,23.9,16.3,7.5,0.8,7.0,13.7,17.9,,0.3,1.4,1.7,.105,,-3.3,3.1,-0.2,0.4"
"32,J.J. Barea\bareajo01,PG,34,DAL,38,752,16.4,.495,.332,.203,1.9,11.6,6.8,47.8,1.4,0.1,14.7,28.1,,0.5,0.6,1.0,.065,,1.1,-2.1,-1.0,0.2"
"33,Harrison Barnes\barneha02,PF-SF,26,TOT,72,2393,12.8,.549,.432,.265,2.4,12.5,7.5,6.7,1.0,0.4,8.0,21.1,,1.8,1.6,3.4,.068,,-0.6,-1.7,-2.3,-0.2"
"33,Harrison Barnes\barneha02,PF,26,DAL,49,1584,13.1,.538,.434,.276,2.5,11.5,7.0,6.3,1.0,0.6,7.8,23.7,,0.9,1.1,2.0,.060,,-0.8,-2.1,-3.0,-0.4"
"33,Harrison Barnes\barneha02,SF,26,SAC,23,809,12.0,.578,.427,.233,2.4,14.5,8.3,7.4,0.9,0.1,8.5,16.1,,0.9,0.5,1.4,.085,,-0.1,-1.0,-1.1,0.2"
"34,Will Barton\bartowi01,SG,28,DEN,37,1041,11.6,.512,.429,.163,3.0,15.1,9.1,15.1,0.8,1.7,12.0,20.5,,0.3,1.0,1.3,.059,,-1.4,-0.5,-1.8,0.0"
"35,Keita Bates-Diop\bateske01,SF,23,MIN,25,397,9.7,.494,.373,.218,3.2,13.6,8.3,4.1,1.4,2.6,6.2,13.6,,0.1,0.3,0.3,.040,,-3.0,-0.3,-3.3,-0.1"
"36,Nicolas Batum\batumni01,SF,30,CHO,71,2268,12.1,.582,.527,.160,3.3,14.9,8.9,14.7,1.5,1.6,16.2,13.4,,2.0,1.6,3.7,.077,,0.0,0.9,0.9,1.7"
"37,Jerryd Bayless\bayleje01,PG,30,MIN,32,626,8.6,.426,.432,.117,1.9,8.3,5.0,24.5,1.4,0.3,11.4,17.6,,-0.2,0.2,0.0,-0.003,,-2.3,-2.7,-5.0,-0.5"
"38,Aron Baynes\baynear01,C,32,BOS,48,755,13.3,.555,.284,.279,11.3,19.2,15.2,9.2,0.6,3.5,13.7,15.4,,1.0,1.0,2.0,.128,,-1.5,1.1,-0.5,0.3"
"39,Kent Bazemore\bazemke01,SG,29,ATL,63,1558,11.9,.505,.428,.260,2.4,14.9,8.5,13.5,2.5,2.3,13.7,21.9,,-0.7,1.4,0.7,.023,,-2.4,0.2,-2.2,-0.1"
"40,Bradley Beal\bealbr01,SG,25,WAS,78,2935,20.7,.583,.373,.284,3.2,11.6,7.3,23.9,1.9,1.6,11.2,28.3,,5.7,1.7,7.4,.122,,3.9,-1.1,2.9,3.6"
"41,Malik Beasley\beaslma01,SG,22,DEN,75,1751,13.9,.598,.553,.084,2.0,9.9,6.0,7.4,1.3,0.5,6.5,18.3,,2.8,1.5,4.2,.116,,1.4,-1.9,-0.6,0.6"
"42,Michael Beasley\beaslmi01,PF,30,LAL,26,277,15.9,.532,.111,.255,5.0,17.2,11.2,14.7,1.5,2.9,13.7,29.5,,-0.1,0.4,0.2,.038,,-3.7,-0.5,-4.2,-0.2"
"43,Marco Belinelli\belinma01,SG,32,SAS,75,1744,12.8,.570,.571,.186,1.0,10.9,6.0,10.3,1.0,0.4,8.5,19.9,,1.8,1.0,2.8,.077,,0.9,-2.4,-1.4,0.3"
"44,Jordan Bell\belljo01,C,24,GSW,62,709,12.8,.527,.012,.226,7.7,16.8,12.5,12.2,1.3,5.6,16.6,13.0,,0.5,1.0,1.4,.097,,-3.1,2.9,-0.2,0.3"
"45,DeAndre' Bembry\bembrde01,SG,24,ATL,77,1818,10.4,.502,.288,.209,2.8,16.6,9.6,14.5,2.5,2.0,17.5,16.9,,-1.0,1.7,0.7,.019,,-3.5,1.3,-2.1,-0.1"
"46,Dragan Bender\bendedr01,PF,21,PHO,42,693,8.5,.525,.548,.223,4.3,19.5,11.8,8.2,1.0,1.8,15.2,12.6,,0.0,0.3,0.3,.022,,-3.3,-0.6,-3.9,-0.3"
"47,Dairis Bertans\bertada02,SG,29,NOP,8,89,1.5,.365,.769,.000,2.4,3.5,2.9,5.4,0.5,0.0,7.1,12.9,,-0.1,0.0,-0.1,-0.067,,-4.3,-3.7,-8.0,-0.1"
"48,Davis Bertans\bertada01,PF,26,SAS,71,1526,13.0,.637,.760,.130,1.7,16.2,8.9,8.1,1.0,1.8,8.1,13.8,,2.5,1.3,3.8,.119,,1.7,-0.3,1.4,1.3"
"49,Patrick Beverley\beverpa01,PG,30,LAC,77,2115,11.7,.557,.588,.263,3.9,14.9,9.6,18.2,1.5,1.6,13.9,12.1,,2.8,2.1,4.8,.109,,1.1,1.3,2.4,2.4"
"50,Khem Birch\birchkh01,C,26,ORL,46,577,19.7,.648,.008,.602,13.3,19.0,16.1,8.8,1.4,3.8,10.1,14.2,,1.7,0.9,2.6,.219,,0.3,2.3,2.6,0.7"
"51,Bismack Biyombo\biyombi01,C,26,CHO,49,688,15.0,.616,.000,.584,10.9,23.5,17.1,5.7,0.6,5.2,14.4,12.6,,1.2,0.7,1.9,.134,,-2.4,1.6,-0.8,0.2"
"52,Nemanja Bjelica\bjeline01,PF,30,SAC,72,1685,15.2,.579,.432,.154,7.4,19.3,13.2,11.3,1.4,2.8,12.1,16.5,,2.3,1.9,4.3,.121,,0.6,1.4,2.0,1.7"
"53,Antonio Blakeney\blakean01,SG,22,CHI,56,815,10.4,.486,.231,.190,0.9,13.2,7.0,7.7,0.7,1.0,7.6,24.5,,-0.8,0.3,-0.6,-0.033,,-4.8,-3.7,-8.5,-1.3"
"54,Eric Bledsoe\bledser01,PG,29,MIL,75,2212,19.1,.574,.388,.243,3.9,11.9,8.1,27.0,2.4,1.1,13.3,22.9,,4.2,3.7,7.9,.172,,2.4,1.1,3.4,3.0"
"55,Jaron Blossomgame\blossja01,SF,25,CLE,27,439,10.2,.510,.368,.123,6.3,19.0,12.4,4.2,0.8,1.6,9.0,12.2,,0.2,0.1,0.3,.031,,-3.0,-1.4,-4.4,-0.3"
"56,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,65,1813,14.0,.528,.425,.193,2.1,11.2,6.5,19.8,1.7,0.7,11.3,22.4,,1.2,1.5,2.6,.070,,0.4,-1.1,-0.7,0.6"
"57,Bojan Bogdanovic\bogdabo02,SF,29,IND,78,2485,16.4,.619,.370,.292,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.5,,4.1,2.8,6.8,.132,,1.6,-1.4,0.2,1.4"
"58,Andrew Bogut\bogutan01,C,34,GSW,7,84,15.1,.513,.000,.120,9.3,35.5,23.0,14.0,0.6,4.0,10.2,14.9,,0.1,0.1,0.3,.143,,-3.4,2.1,-1.2,0.0"
"59,Jonah Bolden\boldejo01,PF,23,PHI,40,557,12.5,.601,.594,.152,7.5,19.6,13.7,8.4,1.3,5.2,18.3,13.6,,0.4,0.8,1.2,.104,,-1.1,2.3,1.2,0.4"
"60,Isaac Bonga\bongais01,PG,19,LAL,17,69,6.3,.260,.261,.391,7.7,17.6,12.8,15.8,4.0,1.2,12.9,18.6,,-0.2,0.1,-0.1,-0.074,,-7.6,2.4,-5.2,-0.1"
"61,Devin Booker\bookede01,SG,22,PHO,63,2235,20.2,.583,.330,.361,1.9,11.4,6.6,34.3,1.2,0.5,15.4,32.9,,3.3,0.4,3.6,.078,,3.9,-2.9,1.0,1.7"
"62,Chris Boucher\bouchch01,PF,26,TOR,27,139,21.4,.537,.515,.227,12.0,21.2,16.7,0.0,2.1,13.1,6.4,24.0,,0.2,0.4,0.5,.185,,-2.8,0.8,-2.0,0.0"
"63,Avery Bradley\bradlav01,SG,28,TOT,63,1905,7.7,.496,.403,.082,2.5,7.4,4.9,11.8,1.0,0.7,12.4,16.2,,-0.6,1.1,0.5,.012,,-1.7,-0.9,-2.6,-0.3"
"63,Avery Bradley\bradlav01,SG,28,LAC,49,1463,5.6,.464,.410,.060,2.6,6.7,4.8,8.8,0.9,0.9,12.4,14.2,,-0.9,0.7,-0.2,-0.008,,-2.4,-0.6,-3.0,-0.4"
"63,Avery Bradley\bradlav01,SG,28,MEM,14,442,14.6,.565,.388,.133,2.0,9.4,5.6,21.7,1.6,0.0,12.3,23.0,,0.3,0.4,0.7,.075,,0.6,-2.1,-1.5,0.1"
"64,Tony Bradley\bradlto01,C,21,UTA,1,9,-10.4,.000,.000,.000,24.4,11.8,18.0,0.0,0.0,0.0,25.0,19.0,,-0.1,0.0,-0.1,-0.335,,-17.4,-5.4,-22.8,0.0"
"65,Corey Brewer\breweco01,SF,32,TOT,26,410,11.9,.555,.398,.398,3.3,10.9,7.1,10.2,2.6,1.2,9.3,14.2,,0.5,0.5,0.9,.108,,-0.9,0.4,-0.5,0.2"
"65,Corey Brewer\breweco01,SF,32,PHI,7,140,10.8,.484,.286,.265,3.1,9.5,6.4,10.0,4.0,1.1,12.8,18.8,,-0.1,0.2,0.1,.045,,-3.2,0.9,-2.3,0.0"
"65,Corey Brewer\breweco01,SF,32,SAC,19,270,12.4,.609,.492,.508,3.4,11.7,7.4,10.3,1.9,1.3,6.5,11.8,,0.5,0.2,0.8,.140,,0.3,0.2,0.5,0.2"
"66,Mikal Bridges\bridgmi01,SF,22,PHO,78,2260,10.8,.558,.576,.207,2.5,9.9,6.1,10.1,2.6,1.4,10.6,12.1,,1.6,1.2,2.9,.061,,-0.5,0.5,0.1,1.2"
"67,Miles Bridges\bridgmi02,SF,20,CHO,75,1528,12.5,.541,.389,.148,4.1,17.1,10.4,7.2,1.6,2.3,8.7,15.2,,1.0,1.3,2.3,.073,,-1.6,0.3,-1.4,0.2"
"68,Isaiah Briscoe\briscis01,PG,22,ORL,39,559,6.7,.455,.246,.188,0.9,13.4,7.1,21.3,1.0,0.3,17.2,14.1,,-0.3,0.5,0.3,.022,,-5.0,-0.6,-5.6,-0.5"
"69,Ryan Broekhoff\broekry01,SG,28,DAL,38,384,11.5,.635,.745,.118,1.4,13.3,7.4,7.4,0.5,0.9,8.7,14.2,,0.6,0.2,0.8,.101,,-0.2,-1.8,-2.0,0.0"
"70,Malcolm Brogdon\brogdma01,SG,26,MIL,64,1832,17.9,.614,.326,.203,3.8,11.7,8.0,16.2,1.2,0.6,10.0,20.8,,4.2,2.4,6.6,.174,,1.9,-0.3,1.6,1.7"
"71,Dillon Brooks\brookdi01,SF,23,MEM,18,330,7.6,.499,.328,.246,3.0,7.7,5.3,7.7,1.5,1.2,12.3,20.9,,-0.3,0.3,0.0,-0.002,,-4.2,-1.8,-6.0,-0.3"
"72,MarShon Brooks\brookma01,SG,30,MEM,29,387,11.6,.518,.320,.195,3.4,9.8,6.5,11.1,1.2,1.0,10.3,23.6,,-0.2,0.3,0.2,.020,,-2.9,-2.6,-5.5,-0.3"
"73,Bruce Brown\brownbr01,SG,22,DET,69,1347,6.6,.460,.304,.179,3.4,10.8,6.9,8.7,1.2,2.2,11.9,11.6,,-0.2,1.4,1.2,.041,,-3.9,1.5,-2.4,-0.1"
"74,Jaylen Brown\brownja02,SG,22,BOS,72,1869,13.4,.546,.349,.254,3.6,14.1,8.8,7.6,1.7,1.5,10.1,22.0,,0.7,2.3,2.9,.075,,-1.6,-0.6,-2.2,-0.1"
"75,Lorenzo Brown\brownlo01,PG,28,TOR,26,212,6.3,.380,.394,.042,2.6,12.9,7.9,17.3,2.7,2.0,18.1,17.9,,-0.5,0.3,-0.1,-0.027,,-5.8,1.5,-4.3,-0.1"
"76,Sterling Brown\brownst02,SG,23,MIL,54,920,11.3,.570,.493,.108,3.2,14.4,9.1,10.5,1.2,0.7,11.5,15.0,,0.8,1.3,2.1,.109,,-1.3,0.1,-1.1,0.2"
"77,Troy Brown\browntr01,SF,19,WAS,48,605,11.6,.491,.281,.219,5.7,17.3,11.4,15.4,1.5,0.6,10.8,16.9,,0.2,0.3,0.6,.046,,-2.5,-1.0,-3.5,-0.2"
"78,Jalen Brunson\brunsja01,PG,22,DAL,69,1476,13.1,.556,.323,.210,1.8,9.5,5.7,21.9,1.2,0.2,12.4,19.0,,1.6,1.0,2.5,.083,,-0.6,-1.6,-2.2,-0.1"
"79,Thomas Bryant\bryanth01,C,21,WAS,68,1386,20.5,.665,.197,.268,8.2,25.1,16.5,9.0,0.8,3.8,9.6,17.5,,3.8,1.2,5.0,.173,,0.9,0.3,1.2,1.1"
"80,Reggie Bullock\bullore01,SG,27,TOT,62,1849,10.5,.562,.661,.146,1.3,8.8,5.0,10.2,1.0,0.5,9.3,15.8,,1.6,1.4,3.0,.077,,0.1,-1.0,-0.8,0.5"
"80,Reggie Bullock\bullore01,SG,27,DET,44,1355,11.0,.569,.667,.145,1.6,8.7,5.0,12.0,0.9,0.3,10.3,16.6,,1.4,1.0,2.4,.084,,0.7,-1.2,-0.5,0.5"
"80,Reggie Bullock\bullore01,SG,27,LAL,18,494,9.0,.539,.643,.147,0.4,9.2,4.9,5.3,1.4,1.2,6.2,13.6,,0.2,0.4,0.6,.059,,-1.4,-0.4,-1.8,0.0"
"81,Trey Burke\burketr01,PG,26,TOT,53,1027,16.1,.513,.271,.221,2.7,7.0,4.8,23.7,1.5,0.6,7.5,25.0,,1.1,0.4,1.5,.070,,0.3,-3.1,-2.7,-0.2"
"81,Trey Burke\burketr01,PG,26,NYK,33,689,15.7,.496,.240,.209,2.2,7.4,4.7,23.6,1.5,0.6,6.9,26.0,,0.5,0.2,0.6,.045,,-0.1,-3.3,-3.4,-0.2"
"81,Trey Burke\burketr01,PG,26,DAL,20,338,17.1,.554,.345,.250,3.5,6.3,4.9,24.0,1.4,0.5,8.9,22.9,,0.6,0.2,0.8,.121,,1.2,-2.6,-1.4,0.1"
"82,Alec Burks\burksal01,SG,27,TOT,63,1368,12.7,.523,.354,.297,2.3,17.0,9.4,13.7,1.4,1.3,10.8,19.1,,0.7,0.8,1.5,.053,,-1.5,-0.6,-2.1,0.0"
"82,Alec Burks\burksal01,SG,27,UTA,17,269,12.5,.547,.377,.333,0.8,9.9,5.4,11.2,1.1,1.2,10.3,23.1,,0.2,0.3,0.5,.085,,-2.2,-1.5,-3.7,-0.1"
"82,Alec Burks\burksal01,SG,27,CLE,34,979,13.2,.517,.350,.288,2.8,18.9,10.5,15.0,1.3,1.4,10.7,19.2,,0.6,0.3,0.9,.044,,-1.0,-0.7,-1.7,0.1"
"82,Alec Burks\burksal01,SG,27,SAC,12,120,8.9,.495,.300,.250,0.8,16.6,8.6,9.2,3.1,0.7,15.3,9.0,,0.0,0.2,0.2,.060,,-4.0,2.1,-1.9,0.0"
"83,Deonte Burton\burtode02,SG,25,OKC,29,237,7.2,.474,.333,.123,1.7,10.8,6.1,5.2,1.2,2.8,9.5,16.2,,-0.1,0.3,0.1,.030,,-5.5,-0.5,-6.1,-0.2"
"84,Jimmy Butler\butleji01,SF-SG,29,TOT,63,2135,20.5,.572,.212,.400,6.1,10.5,8.3,18.4,2.7,1.5,8.2,22.3,,5.4,2.5,7.9,.178,,2.8,0.7,3.5,3.0"
"84,Jimmy Butler\butleji01,SG,29,MIN,10,361,22.4,.579,.287,.389,4.7,10.7,7.7,18.2,3.2,2.4,7.1,23.0,,1.0,0.4,1.3,.178,,3.8,0.8,4.6,0.6"
"84,Jimmy Butler\butleji01,SF,29,PHI,53,1774,20.2,.571,.196,.402,6.4,10.4,8.5,18.4,2.6,1.3,8.4,22.2,,4.5,2.1,6.6,.178,,2.6,0.7,3.3,2.4"
"85,Bruno Caboclo\cabocbr01,SF,23,MEM,29,654,11.6,.563,.581,.227,5.9,15.8,10.7,8.7,0.9,3.8,13.3,14.9,,0.4,0.8,1.2,.086,,-1.4,1.1,-0.3,0.3"
"86,Jose Calderon\caldejo01,PG,37,DET,48,628,7.2,.456,.471,.092,1.8,8.9,5.2,24.9,1.3,0.4,22.0,10.9,,0.1,0.5,0.6,.045,,-3.8,-1.1,-4.9,-0.5"
"87,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,77,1848,12.7,.580,.589,.222,2.5,9.3,6.0,6.3,1.7,0.6,7.3,17.1,,2.2,1.6,3.8,.099,,0.6,-1.1,-0.6,0.7"
"88,Isaiah Canaan\canaais01,PG,27,TOT,30,629,8.0,.518,.585,.146,1.0,9.2,5.1,18.3,1.1,0.3,16.7,14.2,,0.0,0.1,0.1,.010,,-2.4,-2.7,-5.1,-0.5"
"88,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.3,.515,.558,.155,1.1,9.8,5.4,17.1,1.1,0.0,17.4,14.2,,-0.1,0.0,0.0,-0.005,,-2.7,-2.5,-5.1,-0.4"
"88,Isaiah Canaan\canaais01,PG,27,MIN,7,95,12.4,.536,.655,.138,0.0,5.7,2.8,26.9,1.0,0.9,11.5,15.3,,0.1,0.0,0.2,.080,,-0.4,-4.6,-5.0,-0.1"
"88,Isaiah Canaan\canaais01,PG,27,MIL,4,31,5.3,.500,.833,.000,3.5,9.3,6.6,11.6,0.0,2.7,25.0,10.8,,0.0,0.0,0.0,.032,,-4.2,-0.1,-4.3,0.0"
"89,Clint Capela\capelca01,C,24,HOU,62,2109,23.4,.654,.000,.348,14.3,27.3,20.6,6.9,1.0,3.8,10.1,18.1,,7.0,2.7,9.7,.221,,1.1,1.4,2.5,2.4"
"90,DeMarre Carroll\carrode01,PF,32,BRK,64,1638,12.3,.549,.541,.425,4.3,17.1,10.8,7.3,0.8,0.5,9.7,18.7,,1.5,1.5,3.0,.089,,-0.9,-0.9,-1.8,0.1"
